License Issue Date	License Number	Animal's Name	Species	Primary Breed	Secondary Breed	ZIP Code
December 18 2015	S107948	Zen	Cat	Domestic Longhair	Mix	98117
June 14 2016	S116503	Misty	Cat	Siberian		98117
August 04 2016	S119301	Lyra	Cat	Mix		98121
February 17 2018	S140000	Wilbur	Cat	Domestic Shorthair		98103
August 13 2018	578368	Lucky	Cat	Oriental Shorthair	Mix	98106
August 30 2018	S121902	Buffy	Cat	Siamese	European Shorthair	98107
August 31 2018	S120217	Leeloo	Cat	Domestic Shorthair		98102
August 31 2018	S120218	Zorg	Cat	Domestic Shorthair		98102
November 18 2018	118752	Princess	Cat	Domestic Shorthair		98103
November 20 2018	8001722	Princess	Cat	Siamese		98117
December 18 2018	8001785	Eloise	Cat	Pixie-Bob	Mix	98107
January 27 2019	8005097	Jolene	Cat	Maine Coon	Mix	98133
February 06 2019	S151272	Mo Kitty	Cat	Domestic Shorthair	Mix	98105
February 13 2019	962273	Veronica	Cat	Domestic Longhair		98107
February 22 2019	817178	Sadie	Cat	Domestic Shorthair		98199
February 23 2019	S117292	Cosmos	Cat	Domestic Shorthair	Mix	98117
February 25 2019	8004767	Ozzie	Cat	Domestic Medium Hair		98107
February 25 2019	8004766	Mr. Pickles	Cat	Domestic Shorthair	Mix	98107
February 25 2019	29135	Tabby	Cat	Domestic Shorthair		98115
February 25 2019	S127322	Porsche	Cat	Domestic Medium Hair		98119
February 26 2019	574322	Nimbus	Cat	Domestic Shorthair		98122
March 19 2019	8006546	Kiki	Cat	Domestic Longhair	Mix	98115
March 21 2019	142321	Kita	Cat	Domestic Shorthair		98117
March 24 2019	8006641	Oliver	Cat	Domestic Shorthair	Mix	98126
March 24 2019	8006682	Hootie	Cat	Domestic Shorthair	Mix	98136
March 25 2019	S123294	Sofie	Cat	Domestic Shorthair		98109
March 26 2019	273159	Trixie	Cat	Domestic Shorthair		98199
March 26 2019	133718	Buddy	Cat	Domestic Shorthair		98115
March 27 2019	77348	Mia	Cat	Domestic Shorthair		98122
March 31 2019	429389	Mickey	Cat	Domestic Shorthair		98119
April 21 2019	S128396	Haru	Cat	Domestic Shorthair	Mix	98199
April 24 2019	8001800	Sally	Cat	Domestic Shorthair		98125
May 13 2019	S108529	Stasia	Cat	Domestic Medium Hair		98109
June 01 2019	208746	Sweetheart	Cat	Domestic Medium Hair		98116
June 06 2019	79347	Mr Darcy	Cat	Domestic Shorthair		98103
June 23 2019	347178	Taboo	Cat	Domestic Longhair		98105
June 25 2019	8007918	Kali	Cat	Domestic Shorthair		98133
July 04 2019	209285	Daisy	Cat	Domestic Shorthair		98117
July 30 2019	S132137	Ada	Cat	American Curl	Mix	98115
August 05 2019	8000477	Rascal	Cat	Domestic Longhair	Mix	98199
August 10 2019	S133113	Spider	Cat	LaPerm		98115
August 11 2019	S141077	Sammy	Cat	Domestic Shorthair		98136
August 16 2019	S130442	Fog	Cat	Domestic Medium Hair	Mix	98106
August 23 2019	S133417	Alicia Keys	Cat	Domestic Longhair		98133
September 01 2019	S133114	Edom	Cat	LaPerm		98115
September 06 2019	434326	Purcy	Cat	Domestic Shorthair		98112
September 28 2019	204738	Hunter	Cat	Pixie-Bob		98112
October 01 2019	8012076	Mab	Cat	Domestic Medium Hair	Mix	98136
October 02 2019	8012087	Guiness	Cat	Abyssinian		98125
October 05 2019	822818	Raspberry	Cat	Domestic Medium Hair	Mix	98115
October 06 2019	S110834	Olivier	Cat	Domestic Shorthair	Mix	98117
October 11 2019	825362	Hank	Cat	Domestic Shorthair		98116
October 16 2019	732747	Coco	Cat	Domestic Shorthair		98107
October 16 2019	349642	Tobey	Cat	Domestic Shorthair		98102
October 24 2019	346697	Charlotte	Cat	LaPerm		98105
October 24 2019	346695	Charlie	Cat	LaPerm		98105
October 26 2019	833109	Katya	Cat	Bombay		98125
November 01 2019	832211	Frodo	Cat	Domestic Shorthair		98112
November 01 2019	832698	Molly	Cat	Domestic Medium Hair		98107
November 03 2019	8012965	Koshka	Cat	American Shorthair		98109
November 08 2019	S126274	Eroteme	Cat	Domestic Shorthair	Mix	98115
November 12 2019	8013203	Max	Cat	Domestic Shorthair		98125
November 12 2019	8013204	Shadow	Cat	Domestic Longhair		98125
November 13 2019	833084	Ninotchka	Cat	Domestic Medium Hair		98117
November 14 2019	S134363	Sofie	Cat	Domestic Shorthair	Mix	98115
November 17 2019	S124711	Catty	Cat	Domestic Medium Hair	Mix	98125
November 21 2019	8002549	Maxx	Cat	American Shorthair		98125
November 23 2019	S104077	Ruby	Cat	Domestic Medium Hair	Mix	98103
November 25 2019	823923	Ginger	Cat	Domestic Shorthair		98116
December 03 2019	S130444	Ralphie	Cat	Ragdoll		98112
December 07 2019	272467	Sasha	Cat	Domestic Shorthair		98106
December 11 2019	733464	Grace	Cat	Domestic Medium Hair		98106
December 26 2019	22056	Teddy	Cat	Domestic Shorthair		98199
December 29 2019	S145958	Rosemary	Cat	Domestic Shorthair	Mix	98107
January 01 2020	8014466	Elton	Cat	Domestic Shorthair	Mix	98107
January 01 2020	8014477	George Klainer	Cat	American Shorthair	Mix	98109
January 02 2020	S153331	Leigh	Cat	Domestic Shorthair	Mix	98119
January 02 2020	S153332	Daniel	Cat	Domestic Shorthair	Mix	98105
January 02 2020	8014483	Catalina	Cat	Siberian	Mix	98117
January 02 2020	8014492	Legacy	Cat	Mix	Mix	98116
January 02 2020	8014508	Ellie	Cat	Domestic Shorthair	Mix	98133
January 03 2020	8014515	Kitten	Cat	Domestic Shorthair	Mix	98119
January 03 2020	S151072	Franny	Cat	Domestic Shorthair	Mix	98106
January 05 2020	S151890	Wasabi-Sake	Cat	Domestic Shorthair	Mix	98122
January 05 2020	S151894	Priscilla	Cat	Domestic Shorthair	Mix	98122
January 05 2020	8014600	Rumpelteazer	Cat	Domestic Shorthair	Mix	98122
January 05 2020	8014601	Vickie Sue	Cat	Domestic Shorthair	Mix	98122
January 06 2020	8014612	Frank	Cat	Domestic Shorthair	Mix	98115
January 06 2020	8014628	Lilian	Cat	Maine Coon	Mix	98119
January 07 2020	8014647	Taco	Cat	Domestic Shorthair	Mix	98126
January 07 2020	8014648	Tillie	Cat	Domestic Shorthair	Mix	98126
January 07 2020	8014657	Jimmy	Cat	Desert Lynx	Mix	98119
January 08 2020	284710	Dolce	Cat	Domestic Shorthair		98102
January 08 2020	8014681	Nyla	Cat	Domestic Shorthair	Mix	98121
January 08 2020	S151904	Potato	Cat	Domestic Shorthair	Mix	98133
January 08 2020	S151084	Oneie	Cat	Domestic Medium Hair	Mix	
January 08 2020	S109878	Misha Ophelia	Cat	Siamese		98115
January 08 2020	22681	Juniper	Cat	Domestic Shorthair		98199
January 09 2020	S118154	Kedi	Cat	American Shorthair	Domestic Shorthair	98106
January 09 2020	8014711	Bagheera	Cat	American Shorthair	Mix	98125
January 09 2020	14008	Zephyr	Cat	Domestic Shorthair		98117
January 09 2020	S110507	Lewis	Cat	Domestic Shorthair	Maine Coon	98117
January 09 2020	S110506	Clark	Cat	Domestic Shorthair	Maine Coon	98117
January 09 2020	S140184	Neil	Cat	Domestic Shorthair		98115
January 09 2020	S139535	Stella	Cat	Domestic Medium Hair		98115
January 09 2020	S139647	Julius	Cat	Domestic Medium Hair		98115
January 09 2020	S148824	Abby	Cat	Domestic Shorthair	Mix	98125
January 09 2020	S148828	Theo	Cat	Domestic Shorthair	Mix	98106
January 09 2020	S148827	Simon	Cat	Domestic Shorthair	Mix	98106
January 09 2020	277104	Callie	Cat	Domestic Shorthair		98126
January 09 2020	S151088	Darlene Tucker	Cat	Angora	Mix	98121
January 09 2020	S109970	O-Ren	Cat	American Shorthair	Siamese	98117
January 09 2020	S151089	Nancy	Cat	Domestic Shorthair	Mix	98107
January 09 2020	S109352	Noodle	Cat	Domestic Shorthair	Mix	98144
January 09 2020	8014749	Slinky	Cat	Domestic Longhair	Mix	98121
January 09 2020	8014752	Cedar	Cat	Domestic Shorthair	Mix	98133
January 09 2020	S109938	Peaches	Cat	Domestic Shorthair		98103
January 09 2020	8014755	Anjou	Cat	Chartreux	Mix	98103
January 10 2020	S153323	Bertha	Cat	Domestic Shorthair	Mix	98103
January 10 2020	22682	Rudy	Cat	Ragdoll		98106
January 10 2020	17531	Shashi	Cat	Bengal		98106
January 10 2020	S134430	Adelle	Cat	Domestic Shorthair	Mix	98121
January 10 2020	28453	Marshall	Cat	Domestic Shorthair		98199
January 10 2020	28487	Lily	Cat	Domestic Shorthair		98199
January 10 2020	268244	Sugar	Cat	Domestic Shorthair		98136
January 10 2020	28462	Sumi	Cat	Domestic Shorthair		98118
January 10 2020	28488	Daisy	Cat	Maine Coon		98144
January 10 2020	28484	Mickey	Cat	Maine Coon		98144
January 10 2020	S148830	Ziggy Stardust	Cat	Domestic Shorthair		98107
January 10 2020	28315	Moo Moo	Cat	Domestic Shorthair		98107
January 10 2020	28314	Suri	Cat	Domestic Shorthair		98107
January 10 2020	8014779	Winnie	Cat	Domestic Shorthair	Mix	98122
January 10 2020	S109473	Mitaka	Cat	Domestic Shorthair	Mix	98102
January 11 2020	S109815	Emily	Cat	Domestic Longhair		98125
January 11 2020	S148838	Christopher	Cat	Domestic Shorthair	Mix	98112
January 11 2020	8014813	Kittles	Cat	Norwegian Forest	Maine Coon	98112
January 11 2020	S109470	Callie Lou	Cat	Domestic Shorthair	Mix	98117
January 11 2020	S110209	Leala	Cat	Mix		98105
January 11 2020	73527	Saela	Cat	Domestic Shorthair		98102
January 11 2020	19399	Muffin	Cat	American Shorthair		98116
January 11 2020	28456	Spaceship	Cat	Domestic Shorthair		98108
January 11 2020	74274	Hulahan	Cat	American Shorthair		98108
January 11 2020	16826	Honeycut	Cat	Domestic Longhair		98108
January 12 2020	S109827	Bugs Bunny	Cat	Manx		98136
January 12 2020	S109828	Shade	Cat	Domestic Shorthair		98136
January 12 2020	8014832	Roscoe	Cat	Bengal	Mix	98119
January 12 2020	S151906	Sammy	Cat	Domestic Shorthair	Mix	98116
January 12 2020	S151907	Justice	Cat	Domestic Medium Hair		98117
January 12 2020	S151910	Jasper	Cat	Domestic Shorthair	Mix	98107
January 12 2020	8004561	Hudson	Cat	Domestic Shorthair		98107
January 12 2020	S126740	Harriet	Cat	Russian Blue		98118
January 12 2020	22367	Santiago	Cat	Domestic Medium Hair		98103
January 13 2020	28508	Ranger	Cat	Domestic Shorthair		98119
January 13 2020	S102346	Dylan	Cat	Maine Coon		98117
January 13 2020	S111076	Pipsqueak	Cat	Domestic Longhair		98125
January 13 2020	8014856	Haku	Cat	Domestic Shorthair	Mix	98102
January 13 2020	28235	Jingle	Cat	Domestic Shorthair		98112
January 13 2020	8014857	Jasmine	Cat	Domestic Shorthair		98126
January 13 2020	8014861	Ramsey	Cat	Domestic Shorthair		98106
January 13 2020	8014868	Totopo	Cat	Maine Coon	Mix	98144
January 13 2020	8014874	Cedric	Cat	Domestic Longhair	Mix	98125
January 13 2020	28167	Figaro	Cat	American Shorthair		98103
January 13 2020	28169	Bella	Cat	Domestic Longhair		98103
January 13 2020	8014876	Oreo	Cat	American Shorthair	Mix	98103
January 13 2020	8014877	Indie	Cat	American Shorthair	Mix	98103
January 13 2020	S143148	Charlie Girl	Cat	Domestic Shorthair	Mix	98115
January 13 2020	18551	Bat Kitty	Cat	Domestic Shorthair		98102
January 14 2020	19384	Grey	Cat	Russian Blue		98144
